Country,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Bahamas. The,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.62,58.945,59.576,60.171,60.729,61.251,61.739,62.192,62.615,63.011,63.386,63.746,64.096,64.437,64.77,65.088,65.382,65.644,65.871,66.063,66.223,66.357,66.474,66.586,66.701,66.826,66.966,67.122,67.296,67.49,67.712,67.97,68.26,68.574,68.897,69.209,69.485,69.709,69.868,69.96,69.981,69.934,69.84,69.728,69.619,69.546,69.537,69.607,69.762,70.005,70.328,70.715,71.138,71.571,72.001,72.419,72.821,73.214,73.602,73.983
Bahrain,30.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.3,,,,,,,,,,,,,,,49.837,50.106,50.648,51.203,51.768,52.345,52.933,53.53,54.136,54.747,55.361,55.974,56.584,57.19,57.793,58.401,59.022,59.662,60.321,60.992,61.657,62.295,62.891,63.44,63.946,64.434,64.934,65.472,66.061,66.695,67.354,68.003,68.607,69.142,69.602,69.995,70.343,70.676,71.015,71.368,71.734,72.103,72.46,72.792,73.094,73.365,73.605,73.821,74.02,74.206,74.382,74.555,74.725,74.894,75.063,75.234,75.403,75.568,75.727,75.881
Bangladesh,25.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.5,,,,,,,,,,23.2,,,,,,,,,,22,,,,,,,,,,21.5,,,,,,,,,,,,,,,,,,,,24.9,,,,,,,,,,,,,,,,,,,,,,,,36.749,36.939,37.316,37.687,38.052,38.412,38.768,39.122,39.476,39.836,40.209,40.599,41.01,41.441,41.884,42.325,42.745,43.13,43.472,43.772,44.03,44.254,44.463,44.679,44.918,45.204,45.558,45.984,46.482,47.048,47.669,48.324,48.992,49.651,50.295,50.917,51.52,52.119,52.723,53.34,53.977,54.642,55.335,56.055,56.797,57.556,58.323,59.088,59.841,60.575,61.29,61.985,62.665,63.329,63.971,64.582,65.15,65.67,66.139,66.56
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.593,55.291,56.645,57.918,59.108,60.216,61.241,62.182,63.04,63.814,64.504,65.111,65.64,66.099,66.503,66.867,67.204,67.527,67.847,68.175,68.518,68.878,69.247,69.619,69.993,70.364,70.73,71.087,71.433,71.767,72.088,72.4,72.703,73,73.288,73.564,73.826,74.07,74.292,74.49,74.657,74.786,74.879,74.941,74.98,75.009,75.041,75.088,75.162,75.268,75.411,75.593,75.804,76.034,76.279,76.531,76.785,77.035,77.278,77.509
Belarus,36.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.022,65.247,65.692,66.125,66.548,66.958,67.357,67.742,68.111,69.06,71.85,72.57,71.29,71.95,73.48,73.02,73.38,73.13,73.24,72.84,72.32,72.96,72.67,72.71,73.01,72.08,71.92,71.86,71.72,71.32,71.08,71.36,71.49,71.28,70.65,70.86,72.25,72.15,71.89,71.68,71.14,70.58,70.16,69.05,68.81,68.42,68.56,68.37,68.37,67.97,68.99,68.61,68.17,68.71,69.09,68.84,69.51,70.41,69.194,69.403
Belgium,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.33,38.66,40.36,41.9,41.03,37.83,35.11,38.04,34.5,42.28,41.88,41.77,41.33,39.78,37.49,40.92,40.49,40.18,38.98,45.12,41.27,43.12,41.33,39.81,37.74,32.47,43.08,42.56,42.58,40.92,34.35,40.04,43.48,44.67,42.17,43.68,44.48,44.24,43.84,42.48,44.42,45.54,44.89,44.24,45.48,43.36,46.06,44.92,45.07,44.14,44.06,43.16,44.44,46.65,45.46,48.06,48.82,48.12,46.49,46.59,49.44,49.18,49.26,49.32,50.01,49.74,51.11,49.7,50.7,51.37,49.25,52.26,52.51,,,,,,49.86,53.66,54.75,55.15,56.77,57.51,57.16,56.97,57.2,57.53,55.07,57.17,58.51,58.59,58.76,60.42,60.01,60.01,60,60.15,60.01,55.96,58.95,59.2,60.39,56.94,58.39,61.92,63.46,64.98,65.48,66.35,66.8,68,68.37,68.63,68.58,68.87,69.24,69.93,70.33,69.65,70.52,70.25,70.06,70.73,70.58,70.65,70.94,70.63,70.71,70.97,71.1,71.44,71.65,72.01,72,72.15,72.8,72.75,73.24,73.29,73.7,73.93,73.93,74.43,74.54,74.74,75.35,75.66,75.73,76.14,76.3,76.46,76.47,76.82,76.97,77.31,77.53,77.62,77.8,77.91,78.22,78.32,78.47,79.12,79.21,79.55,79.49,79.777,80.047
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.666,56.918,57.422,57.925,58.427,58.929,59.429,59.929,60.429,60.929,61.429,61.93,62.432,62.934,63.437,63.939,64.441,64.94,65.437,65.929,66.415,66.895,67.369,67.834,68.287,68.729,69.158,69.573,69.971,70.346,70.692,71.001,71.27,71.498,71.687,71.836,71.945,72.023,72.082,72.132,72.191,72.273,72.388,72.538,72.725,72.944,73.182,73.424,73.661,73.889,74.114,74.343,74.588,74.853,75.138,75.437,75.742,76.042,76.33,76.602
Benin,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,,36.525,36.733,37.153,37.579,38.012,38.452,38.897,39.348,39.804,40.263,40.723,41.182,41.64,42.096,42.551,43.009,43.473,43.947,44.433,44.934,45.452,45.991,46.548,47.116,47.687,48.248,48.785,49.289,49.752,50.172,50.544,50.867,51.154,51.419,51.676,51.942,52.236,52.569,52.946,53.369,53.835,54.337,54.858,55.381,55.893,56.383,56.837,57.257,57.644,58.003,58.343,58.678,59.021,59.382,59.766,60.172,60.598,61.032,61.466,61.894
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.041,36.044,36.062,36.104,36.17,36.26,36.375,36.513,36.676,36.863,37.076,37.313,37.576,37.864,38.177,38.516,38.88,39.268,39.681,40.116,40.575,41.058,41.564,42.092,42.641,43.209,43.797,44.405,45.026,45.657,46.287,46.906,47.509,48.097,48.673,49.246,49.828,50.432,51.07,51.748,52.471,53.24,54.049,54.888,55.753,56.645,57.568,58.517,59.478,60.434,61.357,62.219,63.001,63.695,64.298,64.815,65.262,65.665,66.048,66.421
Bolivia,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,,,,,,,,,,,,,,33,,,,,,,,,,39.869,40.01,40.294,40.581,40.871,41.164,41.459,41.757,42.058,42.362,42.669,42.978,43.29,43.605,43.923,44.239,44.545,44.843,45.139,45.441,45.768,46.136,46.56,47.049,47.605,48.23,48.916,49.649,50.409,51.185,51.964,52.739,53.506,54.258,54.989,55.692,56.366,57.012,57.632,58.223,58.782,59.306,59.796,60.254,60.684,61.091,61.48,61.856,62.224,62.589,62.951,63.311,63.665,64.013,64.354,64.69,65.023,65.353,65.682,66.01
Bosnia and Herzegovina,35.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.683,52.242,53.335,54.379,55.373,56.318,57.214,58.062,58.862,59.617,60.33,61.005,61.647,62.26,62.852,63.427,63.991,64.544,65.088,65.625,66.162,66.702,67.244,67.781,68.303,68.797,69.245,69.636,69.963,70.225,70.452,70.686,70.942,71.207,71.439,71.501,71.219,70.526,69.45,68.101,66.738,65.692,65.215,65.44,66.365,67.847,69.628,71.377,72.829,73.877,74.488,74.724,74.765,74.762,74.769,74.821,74.927,75.061,75.199,75.344
Botswana,33.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.6,,,,,46.82,47.024,47.432,47.839,48.245,48.65,49.052,49.451,49.846,50.234,50.611,50.977,51.331,51.676,52.018,52.368,52.737,53.134,53.567,54.041,54.561,55.132,55.745,56.386,57.044,57.7,58.332,58.93,59.484,59.991,60.463,60.92,61.379,61.845,62.309,62.77,63.227,63.652,63.999,64.222,64.24,63.97,63.381,62.469,61.257,59.755,57.984,56.046,54.077,52.209,50.646,49.59,49.114,49.221,49.87,50.921,52.172,53.392,54.401,55.118
Brazil,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.9768,,,,,,,,,,32,,,,,,,,,,36.64072,,,,,42.3,,,,,49.972,50.204,50.67,51.14,51.614,52.093,52.576,53.061,53.546,54.03,54.507,54.974,55.428,55.864,56.284,56.687,57.075,57.453,57.826,58.196,58.568,58.944,59.324,59.709,60.099,60.493,60.889,61.285,61.679,62.069,62.457,62.841,63.222,63.602,63.982,64.361,64.739,65.117,65.495,65.875,66.26,66.653,67.055,67.465,67.88,68.295,68.704,69.102,69.483,69.845,70.187,70.51,70.816,71.111,71.395,71.669,71.934,72.19,72.439,72.682
Brunei,29.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.999,60.081,60.255,60.443,60.646,60.864,61.097,61.344,61.605,61.877,62.16,62.454,62.76,63.082,63.426,63.813,64.266,64.791,65.383,66.027,66.686,67.32,67.892,68.381,68.782,69.107,69.385,69.655,69.946,70.27,70.628,71.011,71.399,71.774,72.131,72.465,72.775,73.065,73.341,73.603,73.854,74.094,74.327,74.553,74.773,74.987,75.193,75.39,75.577,75.755,75.927,76.093,76.257,76.42,76.582,76.741,76.897,77.047,77.188,77.321
Bulgaria,35.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.2,,42.5,,,43.3,,,,,,,,,,,,,,,,,,44.6,,,45.3,,,,48.3,,,,,,,51.8,,,,,,,,,,54.08,55.79,57.92,61.39,60.63,59.6,64.14,64.4,64.81,65.21,66.61,68.71,66.57,69.18,70.22,69.51,70.34,71.14,71.3,71.23,70.42,71.25,70.43,71.27,70.87,70.9,71.34,71.2,71.05,71.38,70.81,71.17,71.27,71.1,71.49,71.08,71.25,71.35,71.07,71.55,71.34,71.4,71.46,71.31,71.19,71.19,71.18,70.85,70.95,70.85,70.32,70.91,71.57,71.59,71.9,72.14,72.35,72.54,72.53,72.64,72.95,73.317,73.534
Burkina Faso,29.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.2,,,,,32.888,33.085,33.486,33.904,34.34,34.792,35.261,35.745,36.24,36.745,37.252,37.757,38.253,38.734,39.195,39.632,40.041,40.426,40.79,41.139,41.479,41.821,42.17,42.528,42.897,43.27,43.639,43.996,44.334,44.651,44.946,45.224,45.492,45.754,46.012,46.266,46.513,46.749,46.977,47.199,47.42,47.647,47.885,48.139,48.41,48.702,49.013,49.34,49.678,50.024,50.373,50.723,51.071,51.416,51.755,52.088,52.415,52.739,53.06,53.381
Burundi,31.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.5,,,,,38.422,38.575,38.881,39.184,39.486,39.786,40.084,40.383,40.682,40.984,41.291,41.605,41.925,42.248,42.568,42.869,43.133,43.352,43.525,43.662,43.781,43.91,44.072,44.284,44.551,44.873,45.24,45.631,46.021,46.398,46.757,47.106,47.44,47.747,48.003,48.152,48.129,47.914,47.517,46.973,46.355,45.757,45.268,44.955,44.848,44.949,45.225,45.606,46.028,46.466,46.901,47.332,47.77,48.224,48.685,49.149,49.61,50.064,50.51,50.945
Cambodia,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,,38.588,38.801,39.222,39.63,40.027,40.412,40.792,41.17,41.553,41.96,42.404,42.895,43.432,43.991,44.529,44.976,45.256,45.307,45.082,44.557,43.625,42.174,40.271,38.085,35.839,33.96,32.931,33.02,34.319,36.75,40.02,43.67,47.163,50.079,52.23,53.565,54.204,54.466,54.623,54.77,54.964,55.208,55.448,55.648,55.822,55.986,56.152,56.332,56.536,56.78,57.077,57.441,57.867,58.348,58.876,59.436,60.011,60.583,61.138,61.668
Cameroon,28.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.75,,,,,,,,,,,,,,28.75,,,,,37.851,38.013,38.344,38.692,39.055,39.434,39.828,40.237,40.659,41.091,41.531,41.975,42.42,42.863,43.303,43.74,44.174,44.611,45.05,45.494,45.939,46.381,46.818,47.255,47.697,48.158,48.656,49.199,49.789,50.417,51.078,51.76,52.44,53.091,53.688,54.203,54.611,54.904,55.081,55.138,55.079,54.91,54.655,54.338,53.979,53.59,53.178,52.748,52.314,51.896,51.515,51.189,50.928,50.741,50.635,50.621,50.702,50.866,51.1,51.392
Canada,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.0464,,,,,,,,,,40.3172,,,,,,,,,,41.05968,,,,,,,,,,41.59504,,,,,,,,,,42.5568,,,,,,,,,,44.72976,,,,,,,,,,45.17416,,,,,,,,,,48.63448,,,,,,,,,,52.51064,,,,,,,,,,57.02,57.02,57.02,58.83,59.31,57.99,58.68,58.57,57.97,58.95,60.36,61.43,62.36,62.77,62.49,62.72,61.35,63.31,63.74,64.01,63.76,64.7,64.61,65.35,66.33,66.53,66.78,67.33,67.65,68.28,68.55,68.75,69.13,69.99,70.05,70.04,69.96,70.62,70.66,71.04,71.27,71.3,71.31,71.69,71.79,71.92,72.13,72.29,72.45,72.65,72.98,72.88,73.11,73.19,73.49,73.92,74.21,74.54,74.9,75.14,75.55,75.76,76.13,76.43,76.41,76.56,76.86,76.93,77.2,77.51,77.69,77.95,77.83,78.01,78.13,78.4,78.61,78.83,79.05,79.41,79.65,79.77,79.95,80.25,80.36,80.78,80.592,80.743,80.893
