Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37000,,,,,,,,,,37000,,,,,,,,,,35000,,,,,,,,,,35000,,,,,,,,,,37000,,,,,,,,,,35000,,,,,,,,,,32000,,,,,,,,,,30000,,,,,,,,,,,,,,,,,,,,,,,,,42000,,,,45816,46901,47961,48976,49967,51046,52191,53138,53788,54149,54500,55650,56825,58025,58650,59290,60545,61825,63135,64475,65624,66354,67016,67532,67836,68041,68361,68637,68608,68519,68546,68264,68008,65434,64105,63852,63675,63510,63339,63118,62721,62410,62453,62724,63126,63630,64181,64774,65366,65929,66464,66970,67448,67897,68320,68722,69108,69481,69842,,,75656
Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,534000,,,,,,,,,,,,,,,,,,,,534000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1100000,,,,,,,,,,,,,,,,,,,,1796000,,,,,,,,,,,,,,,,,,,,3376000,,,,,,,,,,4693000,4873000,5060000,5254000,5455000,5664000,5881000,6107000,6341000,6584000,6836000,7098000,7370000,7653000,7885000,8072000,8226000,8374000,8518000,8672000,8861000,9092000,9368000,9707000,10054000,10358000,10652000,10965000,11282000,11592000,11896000,12167000,12402000,12623000,12834000,13044000,13260000,13490000,13724000,13984000,14169000,14402000,14638000,14877000,15130000,15390000,15654000,15942000,16307000,16737000,17150336,17517342,17876956,18230816,18580559,18927821,19271511,19610538,19946539,20281150,20616009,20950583,21283783,21616403,21949244,22283100,22611604,22934225,23260514,23600026,23962313,24363816,24779799,25209829,25646371,26081880,26531280,26983828,27440272,27901971,28369799,28862831,29341374,29801763,30235573,30675059,31145966,31620918,32090943,32558573,33022202,33491595,33958947,34411978,34864440,35311049,35753590,36203463,36643768,37073828,37497728,37916560,38331121,38740807,39144753,39537943,39921833,40301927,40677348,,,46786640
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,413326,,,,,,,,,,,,,,,,,,,,413326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1355269,1379204,1416722,1455777,1505668,1565329,1617460,1672403,1733125,1796363,1868852,1943799,2006853,2065618,2134940,2205833,2273695,2338063,2402358,2463153,2519745,2581671,2647035,2712997,2776539,2834136,2892704,2954907,3014042,3066726,3115289,3166098,3218691,3270153,3322394,3373532,3421978,3468857,3515614,3325992,3376783,3437479,3378331,3231570,3126094,3068751,3063395,3059000,3049147,3047620,3042556,3027590,3013818,3001712,2991360,2982904,2976372,2971650,2968586,,,3050556
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19286,,,,,,,,,,,,,,,,,,,,19286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49712,51335,51955,52585,53220,53865,54516,55176,55843,56518,57203,57008,57681,58541,59091,59020,58632,58316,58149,58424,59039,59397,59461,59609,59555,59390,59337,59412,59481,59741,60266,60717,61569,62483,63337,64129,64817,65415,65922,66335,66653,66919,67174,67414,67636,67836,68057,68341,68683,69083,69539,70007,70441,70844,71218,71566,71891,72194,72480,,,75332
Australia,,,450000,,450000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,334000,331000,329000,329000,332000,333000,330000,328000,326000,326000,330000,333000,338000,349000,354000,358000,367000,373000,388000,403000,420000,448000,465000,472000,482000,494000,505000,518000,538000,576000,605000,636000,710000,795000,887000,983000,1065000,1156000,1235000,1279000,1326000,1346000,1382000,1432000,1495000,1558000,1609000,1647000,1700000,1750000,1775000,1675000,1722000,1769000,1822000,1874000,1929000,1995000,2062000,2127000,2197000,2269000,2348000,2447000,2556000,2650000,2741000,2835000,2932000,3022000,3107000,3196000,3274000,3334000,3395000,3460000,3523000,3586000,3642000,3691000,3741000,3795000,3850000,3896000,3946000,4004000,4062000,4127000,4197000,4278000,4375000,4500000,4661000,4821000,4933000,4971000,4955000,4950000,5032000,5193000,5358000,5461000,5574000,5697000,5819000,5943000,6064000,6188000,6304000,6396000,6469000,6527000,6579000,6631000,6682000,6732000,6783000,6841000,6904000,6971000,7042000,7111000,7173000,7236000,7309000,7389000,7474000,7578000,7715000,7919000,8267337,8510600,8691212,8857924,9064017,9277087,9500606,9712569,9915267,10131729,10361273,10598814,10794968,11001483,11218304,11439384,11655083,11872264,12101660,12379384,12660160,12937200,13177000,13380400,13599100,13771400,13915500,14074100,14248600,14421900,14615900,14923260,15184200,15393500,15579400,15788300,16018350,16257249,16520206,16780235,17022133,17257526,17481977,17688687,17892557,18116171,18348078,18565243,18768789,18968247,19164620,19357594,19546792,19731984,19913144,20090437,20264082,20434176,20600856,,,23497314
Austria,,,2500000,,2500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3369000,3386000,3402000,3419000,3436000,3452000,3469000,3486000,3504000,3521000,3538000,3555000,3573000,3590000,3608000,3626000,3614000,3662000,3680000,3698000,3716000,3739000,3762000,3785000,3808000,3831000,3855000,3878000,3902000,3926000,3950000,3978000,4006000,4035000,4063000,4092000,4120000,4150000,4178000,4206000,4235000,4263000,4292000,4321000,4350000,4380000,4409000,4439000,4469000,4499000,4520000,4562000,4604000,4646000,4688000,4730000,4772000,4815000,4857000,4899000,4941000,4985000,5030000,5075000,5121000,5166000,5212000,5257000,5303000,5348000,5394000,5446000,5504000,5563000,5622000,5680000,5739000,5798000,5856000,5915000,5973000,6035000,6099000,6164000,6228000,6292000,6357000,6421000,6485000,6550000,6614000,6669000,6724000,6767000,6806000,6843000,6825000,6785000,6727000,6420000,6455000,6504000,6528000,6543000,6562000,6582000,6603000,6623000,6643000,6664000,6684000,6705000,6725000,6746000,6760000,6761000,6758000,6755000,6753000,6653000,6705000,6745000,6783000,6808000,6834000,6799000,7000000,6971000,6956000,6943000,6935100,6935451,6927772,6932483,6940209,6946885,6952359,6965860,6987358,7014331,7047437,7086299,7129864,7175811,7223801,7270889,7322066,7376998,7415403,7441055,7467086,7500482,7544201,7586115,7599038,7578903,7565525,7568430,7562305,7549425,7549433,7564629,7574613,7552896,7554132,7559776,7568242,7578903,7599791,7627861,7722953,7818423,7914969,7988599,8027540,8047433,8060852,8069876,8078622,8094156,8113413,8131690,8148312,8162656,8174762,8184691,8192880,8199783,8205533,,,8119664
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,879960,,,,,,,,,,,,,,,,,,,,879960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2885332,2983082,3090973,3158974,3222581,3313718,3416717,3526313,3630590,3740596,3881546,4033503,4157301,4283470,4430183,4566962,4701730,4827284,4945231,5059334,5168973,5283659,5393681,5497774,5599407,5696117,5789818,5886578,5986427,6082087,6173361,6270531,6369133,6470276,6578901,6681687,6776473,6873978,6975798,7101735,7199838,7308339,7413618,7497205,7572945,7630291,7668253,7695123,7714005,7729131,7748163,7771092,7798497,7830764,7868385,7911974,7961619,8017309,8079043,,,9753054
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27350,,,,,,,,,,,,,,,,,,,,27350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28000,,,,,,,,,,35000,,,,,,,,,,39000,,,,,,,,,,44000,,,,,,,,,,48000,,,,,,,,,,54000,,,,,,,,,,56000,,,,,,,,,,53000,,,,,,,,,,60000,,,,,,,,,,,,69000,,,,,,,70498,73229,76217,79487,83062,87138,91596,96485,101676,106931,112234,117565,122902,128225,133605,139205,145065,151120,157435,164012,170323,174220,178332,181985,185499,189139,193257,197499,201499,206150,209944,214710,219682,224719,229819,234988,239832,244042,248063,252424,257253,260335,264085,268189,271881,275303,278571,281577,284505,287358,290075,292663,295131,297477,299697,301790,303770,305655,307451,,,329580
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64474,,,,,,,,,,,,,,,,,,,,64474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114840,117580,120447,123469,126708,130253,134207,138655,143798,149769,156648,164334,171863,179108,185691,191378,196706,202182,207811,213596,219543,225375,230800,238977,248343,258789,273661,297410,322535,336070,347568,363427,377967,393022,408282,423950,439556,454612,469484,484791,500476,515234,529491,543998,558397,572639,586047,598561,610767,622634,634137,645361,656397,667238,677886,688345,698585,708573,718306,,,900082
Bangladesh,,,12918659,,15789473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24721000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31786000,,,,,,,,,,,,,,,,34427000,,,,,,,,,,,,41966000,,,,,41660000,,,,45645964,46152281,46886859,47660488,48603271,49601520,50477738,51365468,52399182,53484608,54621538,55741313,56839289,58226108,59402546,60332117,61548117,62821884,64133002,65482564,67402621,69226511,70759295,72470813,74679411,76253310,77928480,80428306,82935511,85492214,88076996,90666000,93074406,95384346,97611763,99752733,101768861,103764241,105771136,107806550,109896945,111935847,113704579,115447696,117279697,119186448,121189286,123315288,125572731,127943283,130406594,132974813,135656790,138448210,141340476,144319628,147365352,150448339,153546901,,,219635970
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81729,,,,,,,,,,,,,,,,,,,,81729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136000,,,,,,,,,,153000,,,,,,,,,,162000,,,,,,,,,,172000,,,,,,,,,,183000,,,,,,,,,,196000,,,,,,,,,,172000,,,,,,,,,,157000,,,,,,,,,,,,,,,,,,,,,,,,,194000,,,,210666,214729,217959,221303,225244,227255,225962,225569,227979,231394,232339,229597,228747,230738,233269,234980,236227,238224,239868,239321,238756,240606,242445,244127,245563,247147,248023,249169,250145,251145,251966,252376,253522,254918,256227,257446,258506,259428,260313,261441,262624,263693,264925,265977,266906,267907,268944,270096,271232,272364,273483,274584,275673,276761,277816,278870,279912,280946,281968,,,293555
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2355081,,,,,,,,,,,,,,,,,,,,2355081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7722155,7742159,7698249,7666821,7698751,7780565,7856790,7912626,7982625,8075290,8167918,8262998,8365073,8438881,8501607,8590786,8694009,8786887,8864776,8946091,9027198,9101396,9169156,9236465,9304311,9360184,9405544,9457385,9520280,9581518,9643706,9712761,9778781,9845174,9914262,9981744,10044184,10097446,10149612,10184084,10215208,10244639,10306362,10360516,10387841,10403989,10408773,10404210,10394407,10382370,10366719,10350194,10335382,10322151,10310520,10300483,10293011,10289007,10287955,,,9967035
Belgium,,,1600000,,2000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3434000,3464000,3495000,3526000,3557000,3589000,3620000,3652000,3685000,3717000,3750000,3782000,3814000,3846000,3879000,3912000,3945000,3978000,4012000,4046000,4080000,4115000,4151000,4187000,4223000,4259000,4296000,4333000,4371000,4408000,4449000,4477000,4506000,4534000,4563000,4592000,4621000,4651000,4680000,4710000,4740000,4774000,4809000,4844000,4879000,4915000,4950000,4986000,5023000,5029000,5096000,5137000,5178000,5219000,5261000,5303000,5345000,5394000,5442000,5492000,5541000,5606000,5673000,5740000,5807000,5876000,5919000,5962000,6007000,6051000,6096000,6164000,6231000,6300000,6370000,6439000,6494000,6548000,6604000,6662000,6719000,6801000,6903000,6997000,7086000,7175000,7258000,7338000,7411000,7478000,7498000,7517000,7590000,7666000,7723000,7759000,7762000,7729000,7660000,7628000,7552000,7504000,7571000,7635000,7707000,7779000,7844000,7904000,7968000,8032000,8076000,8126000,8186000,8231000,8262000,8288000,8315000,8346000,8374000,8392000,8346000,8276000,8247000,8242000,8291000,8339000,8367000,8450000,8557000,8614000,8639369,8678386,8730405,8777873,8819380,8868475,8923845,8989111,9052707,9103729,9118700,9165800,9218400,9283100,9367000,9448100,9507800,9556500,9589800,9612700,9637800,9672500,9709100,9738400,9767800,9794800,9811000,9821800,9829700,9837200,9846800,9852400,9856303,9855520,9855300,9858200,9861800,9870200,9884000,9937697,9969310,10004487,10045622,10085426,10122914,10155459,10178934,10199787,10217030,10235655,10263618,10291679,10311970,10330824,10348276,10364388,10379067,10392226,10403951,,,10409623
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25526,,,,,,,,,,,,,,,,,,,,25526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26000,,,,,,,,,,25000,,,,,,,,,,27000,,,,,,,,,,31000,,,,,,,,,,37000,,,,,,,,,,40000,,,,,,,,,,45000,,,,,,,,,,51000,,,,,,,,,,,,,,,59000,,,,65797,66759,69932,72143,74408,76892,79651,82461,85394,88641,91863,94685,97594,100712,103902,106965,110115,113265,116293,119183,122070,124890,127661,130375,133027,135611,138135,140578,142937,145205,144416,149191,153277,156825,160800,165530,171219,176347,181390,186418,190847,195733,200798,206055,211500,217120,222908,228884,235030,241369,247887,254497,261138,267787,274435,281084,287730,294385,301022,,,440284
Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,636559,,,,,,,,,,,,,,,,,,,,636559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1672661,1704916,1738315,1772899,1808895,1846175,1884978,1925173,1966816,2010163,2055083,2101846,2151895,2202775,2255760,2310714,2367951,2427334,2488957,2553162,2619809,2689271,2761407,2836325,2914439,2995605,3080268,3168267,3259760,3354798,3444361,3540043,3641603,3748839,3861680,3982013,4110035,4243788,4382448,4526250,4676077,4828814,4981671,5214220,5487359,5700089,5886094,6066080,6248686,6435871,6627964,6824931,7026113,7230693,7438437,7649360,7862944,8078314,8294941,,,12892956
Bermuda,,,,,,8774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000,,,,,,,,,,,9125,8118,,,,,,,,,10000,,,,,,,,11000,,,,,,,,,,12000,,,,,,,,,,12000,,,,,,,,,,14000,,,,,,,,,,15000,,,,,,,,,,18000,,,,,,,,,,19000,,,,,,,,,,20000,,,,,,,,,,28000,,,,,,,,31000,,,,,,,,,,,38869,39386,39876,40385,40919,41459,42020,42602,43124,43682,44365,45148,46146,47141,48107,48998,49804,50548,51250,51906,52600,53071,53260,53450,53639,53829,54018,54207,54377,54516,54726,54911,55168,55506,55853,56181,56514,56831,57166,57485,57781,58095,58696,59236,59735,60273,60841,61420,61952,62450,62971,63498,64004,64482,64935,65365,65773,66163,66536,,,70825
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,392287,,,,,,,,,,,,,,,,,,,,392287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,734000,745689,757716,770091,782825,796000,809486,823365,837649,852335,867000,882518,898475,914885,931782,950000,967932,986400,1005421,1025096,1045000,1066129,1087991,1110611,1133702,1157452,1181554,1205659,1230769,1255882,1281000,1306579,1333704,1362337,1392489,1424193,1457094,1490857,1525539,1561160,1597719,1635161,1673428,1712504,1752368,1793012,1834341,1876236,1918669,1961642,2005222,2049412,2094176,2139549,2185569,2232291,2279723,2327849,2376680,,,3577325
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1100000,,,,,,,,,,,,,,,,,,,,1100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1374000,,,,,,,,,,,,,,,,,,,,1495000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1696000,1710000,1723000,1737000,1751000,1765000,1779000,1793000,1808000,1822000,1837000,1851000,1866000,1881000,1915000,1951000,1986000,2023000,2060000,2098000,2136000,2161000,2186000,2212000,2237000,2263000,2289000,2316000,2343000,2370000,2397000,2425000,2453000,2482000,2511000,2540000,2569000,2599000,2629000,2659000,2690000,2721000,2753000,2785000,2817000,2850000,2883000,2916000,2950000,2984000,2766028,2823667,2883315,2944968,3008635,3074311,3141998,3211738,3283613,3357701,3434073,3512782,3593918,3677637,3764067,3853315,3945474,4040665,4139069,4240872,4346218,4454684,4565872,4679923,4796240,4914316,4955744,5079716,5204622,5326981,5441298,5545224,5642224,5737434,5834293,5934935,6041350,6156369,6283164,6423135,6573900,6731484,6893451,7055495,7216538,7376582,7535615,7693188,7848703,8001930,8152620,8300463,8445134,8586443,8724156,8857870,8989046,9119152,9247816,,,11959992
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,851806,,,,,,,,,,,,,,,,,,,,851806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2662000,2721000,2791000,2863000,2916000,2974000,3025000,3076000,3126000,3185000,3240000,3299000,3349000,3399000,3445000,3493000,3541000,3585000,3627000,3669000,3703000,3761000,3819000,3872000,3925000,3980000,4033000,4086000,4135000,4181000,4092000,4135743,4172693,4207275,4241401,4275355,4307685,4338977,4369894,4398322,4423646,4449406,4256013,3955016,3784983,3708960,3608495,3607000,3817575,3958653,4035457,4111293,4165416,4243181,4345591,4430494,4498976,4552198,4590310,,,4447608
